"Codice_PreCipe","Data_PreCipe","Progressivo_PreCipe","Codice_Titolario","Numero_Fascicolo","Numero_SottoFascicolo","Codice_Registro","Codice_Registro2","Codice_Registro3","Numero_OdgPreCipe","Progressivo_NumeroPreCipe","Codice_ArgomentoPreCipe","Oggetto_PreCipe","Codice_RisultanzaPreCipe","Nota_RisultanzaPreCipe","Codice_Ufficio","Numero_Delibera","Annotazioni_PreCipe"
1869,"2002-09-24 00:00:00",0,11,26,,,,,"0",0,0,"AGGIORNAMENTO ELENCO COMUNI ALTA TENSIONE ABITATIVA",0,,0,0,
1870,"2001-11-12 00:00:00",0,11,28,,,,,"0",0,0,"RELAZIONE UVER SU OPERE DI COMPLETAMENTO - OPERE COMMISSARIATE",0,,0,0,
1871,"2002-07-30 00:00:00",0,11,29,,,,,"0",0,0,"ADDENDUM AL CONTRATTO DI PROGRAMMA CON FS - RFI",0,,0,0,
1872,"2002-03-19 00:00:00",0,11,29,,,,,"0",0,0,"ADDENDUM AL CONTRATTO DI PROGRAMMA CON FS - RFI",0,,0,0,
1873,"2002-03-19 00:00:00",0,11,30,,,,,"0",0,0,"RELAZIONE UVER STATO ATTUAZIONE COMPLETAMENTO OPERE L. 208/98  (2° SEMESTRE 2001)",0,,0,0,
1874,"2002-04-23 00:00:00",0,11,31,,,,,"0",0,0,"MODIFICA INTERVENTI DEL PROGRAMMA DI EDILIZIA SCOLASTICA NELLE AREE DEPRESSE  COMUNE LARINO (DELIBERA 26/6/1996)",0,,0,0,
1875,"2002-10-22 00:00:00",0,11,32,,,,,"0",0,0,"INTERVENTI SETTORE TRASPORTO RAPIDO DI MASSA - RELAZIONE STATO ATTUAZIONE E RIDETERMINAZIONE CONTRIBUTI",0,,0,0,
1876,"2002-07-30 00:00:00",0,11,33,,,,,"0",0,0,"MINISTERO GIUSTIZIA: PROGRAMMA TRIENNALE EX LEGE 109/1994 - PARERE DI CONFORMITA'",0,,0,0,
1877,"2002-07-30 00:00:00",0,11,37,,,,,"0",0,0,"RELAZIONE SULLO STATO DI ATTUAZIONE DEGLI INVESTIMENTI AL 31 DICEMBRE 2001 PREVISTI DAI CONTRATTI DI PROGRAMMA FS.S.P.A. 1994/2000 E 2001/2005 ",0,,0,0,
1878,"2002-12-17 00:00:00",0,11,38,,,,,"0",0,0,"MINISTERO INFRASTRUTTURE E TRASPORTI: PROGRAMMA TRIENNALE VIABILITA' 2002-2004: RETE STRADALE E AUTOSTRADALE - PARERE DI CONFORMITA'",0,,0,0,
1879,"2002-07-30 00:00:00",0,11,40,,,,,"0",0,0,"ISTITUTO NAZIONALE FISICA NUCLEARE: PROGRAMMA TRIENNALE 2002-2004 - PARERE DI CONFORMITA'",0,,0,0,
1880,"2002-07-30 00:00:00",0,11,41,,,,,"0",0,0,"MINISTERO BENI E ATTIVITA' CULTURALI  PROGRAMMA TRIENNALE 2002-2004 - PARERE DI CONFORMITA'",0,,0,0,
2014,"2004-03-02 00:00:00",0,11,136,,,,,"0",0,0,"REGIONE BASILICATA OPERE ACQUEDOTTISTICHE  NELLE VALLI DEL NOCE E DEL SINNI",0,,0,0,
2015,"2004-03-02 00:00:00",0,11,137,,,,,"0",0,0,"REGIONE BASILICATA OPERE ACQUEDOTTISTICHE  NELLE VALLI DELL'AGRI 1° LOTTO FUNZIONALE",0,,0,0,
2016,"2004-03-02 00:00:00",0,11,138,,,,,"0",0,0,"RACCORDO AUTOSTRADALE TRA A4 E LA VALTROMPIA",0,,0,0,
2017,"2004-03-02 00:00:00",0,11,140,,,,,"0",0,0,"SCHEMA TIPO DI PIANO ECONOMICO FINANZIARIO PER LE OPERE STRATEGICHE",0,,0,0,
2018,"2004-04-01 00:00:00",0,11,141,,,,,"0",0,0,"COMPLETAMENTO DELLO SCHEMA IDRICO SULLA DIGA DEL MENTA – 1° LOTTO",0,,0,0,
2019,"2004-03-02 00:00:00",0,11,141,,,,,"0",0,0,"COMPLETAMENTO DELLO SCHEMA IDRICO SULLA DIGA DEL MENTA – 1° LOTTO",0,,0,0,
2020,"2004-04-01 00:00:00",0,11,143,,,,,"0",0,0,"OPERE IRRIGUE E POTABILI DEL RIO MONTI NIEDDU",0,,0,0,
2021,"2004-05-25 00:00:00",0,11,146,,,,,"0",0,0,"PROGETTO POTENZIAMENTO SS 131 CARLO FELICE",0,,0,0,
2022,"2004-10-20 00:00:00",0,11,148,,,,,"0",0,0,"AUTOSTRADA SALERNO - REGGIO CALABRIA 3° MAXILOTTO",0,,0,0,
2023,"2004-05-25 00:00:00",0,11,150,,,,,"0",0,0,"L. 109/1994 - PROGRAMMA EDILIZIA PENITENZIARIA TRIENNIO 2004/2006",0,,0,0,
2024,"2004-05-25 00:00:00",0,11,151,,,,,"0",0,0,"L. 109/1994 - PROGRAMMA INFN TRIENNIO 2004/2006",0,,0,0,
2025,"2004-10-20 00:00:00",0,11,152,,,,,"0",0,0,"PIANO PRIORITA' INVESTIMENTI - AGGIORNAMENTO 2004",0,,0,0,
2026,"2004-06-23 00:00:00",0,11,153,,,,,"0",0,0,"PROGETTO PRELIMINARE DELLA LINEA FERROVIARIA S.ANDREA - BITETTO",0,,0,0,
2027,"2006-01-26 00:00:00",0,11,154,,,,,"0",0,0,"PROGETTO PRELIMINARE DELLA LINEA FERROVIARIA SARONNO - SEREGNO",0,,0,0,
2028,"2004-06-23 00:00:00",0,11,154,,,,,"0",0,0,"PROGETTO PRELIMINARE DELLA LINEA FERROVIARIA SARONNO - SEREGNO",0,,0,0,
2029,"2004-06-23 00:00:00",0,11,155,,,,,"0",0,0,"CORRIDOIO TIRRENICO MERIDIONALE: AUTOSTRADA FIUMICINO - FORMIA",0,,0,0,
2030,"2004-06-23 00:00:00",0,11,156,,,,,"0",0,0,"METROPOLITANA DI MILANO NUOVA LINEA M5 E PROLUNGAMENTO DELLA LINEA M1 METROPOLITANA M1 DI MONZA (CONFLUITO NEL FASC. 11/298)",0,,0,0,
2031,"2004-06-23 00:00:00",0,11,157,,,,,"0",0,0,"ELETTRODOTTO TURBIGO BOVISIO: PROGETTO PER AUTORIZZAZIONE COSTRUZIONE ED ESERCIZIO",0,,0,0,
2032,"2004-10-20 00:00:00",0,11,158,,,,,"0",0,0,"SCHEMI IDRICI BASILICATA: CONTURIZZAZIONE UTENZE E MISURAZIONE DELL'ACQUA FORNITA",0,,0,0,
2033,"2004-06-23 00:00:00",0,11,159,,,,,"0",0,0,"L.211/92 - TRASPORTO RAPIDO DI MASSA - BRINDISI",0,,0,0,
2034,"2004-06-23 00:00:00",0,11,160,,,,,"0",0,0,"FUSIONE PER INCORPORAZIONE SOC. ADRIATICA DI NAVIGAZIONE SPA DA PARTE DI TIRRENIA SPA",0,,0,0,
2035,"2004-10-20 00:00:00",0,11,161,,,,,"0",0,0,"L. 109/1994 PROGRAMMA TRIENNALE 2004-2006 - DIPARTIMENTO TRASPORTI TERRESTRI ",0,,0,0,
2036,"2004-10-20 00:00:00",0,11,162,,,,,"0",0,0,"LINEA FERROVIARIA ARCISATE STABIO",0,,0,0,
2037,"2004-10-20 00:00:00",0,11,163,,,,,"0",0,0,"SS 16-613 VARIANTE ESTERNA DI LECCE",0,,0,0,
2038,"2007-12-19 00:00:00",0,11,165,,,,,"0",0,0,"PROGRAMMA NAZIONALE  INTERVENTI  SETTORE IDRICO L.350/2003 - ART.4",0,,0,0,
2039,"2006-01-26 00:00:00",0,11,166,,,,,"0",0,0,"RACCORDO AUTOSTRADALE  CISA - BRENNERO ",0,,0,0,
2040,"2004-10-20 00:00:00",0,11,166,,,,,"0",0,0,"RACCORDO AUTOSTRADALE  CISA - BRENNERO ",0,,0,0,
2041,"2004-10-20 00:00:00",0,11,167,,,,,"0",0,0,"SCHEMI IDRICI BASILICATA RISTRUTTURAZIONE ADDUTTORE IDRAULICO S.GIULIANO GINOSA",0,,0,0,
2042,"2004-10-20 00:00:00",0,11,168,,,,,"0",0,0,"SCHEMI IDRICI PUGLIA - POTABILIZZAZIONE DI CONZA E DELL'OFANTO",0,,0,0,
2043,"2004-10-20 00:00:00",0,11,169,,,,,"0",0,0,"AMMODERNAMENTO SS 275 MAGLIE- S. MARIA DI LEUCA",0,,0,0,
2044,"2004-10-20 00:00:00",0,11,170,,,,,"0",0,0,"ASSE  FERROVIARIO MONACO - VERONA: GALLERIA DEL BRENNERO (VERONA - FORTEZZA)",0,,0,0,
2045,"2004-10-20 00:00:00",0,11,171,,,,,"0",0,0,"NUOVA CONCA DI ACCESSO AL PORTO  DI CREMONA",0,,0,0,
2046,"2007-12-19 00:00:00",0,11,172,,,,,"0",0,0,"HUB PORTUALE DI CIVITAVECCHIA",0,,0,0,
2047,"2004-10-20 00:00:00",0,11,172,,,,,"0",0,0,"HUB PORTUALE DI CIVITAVECCHIA",0,,0,0,
2048,"2006-01-24 00:00:00",0,11,172,,,,,"0",0,0,"HUB PORTUALE DI CIVITAVECCHIA",0,,0,0,
2049,"2004-11-23 00:00:00",0,11,173,,,,,"0",0,0,"L. 211/1992TRASPORTO RAPIDO DI MASSA  VERONA, PALERMO, FERROVIE NORD MILANO, OSIMO, SPOLETO, TAORMINA, BOLOGNA, FERROVIE SUD EST, L'AQUILA, LATINA",0,,0,0,
2050,"2004-10-20 00:00:00",0,11,173,,,,,"0",0,0,"L. 211/1992TRASPORTO RAPIDO DI MASSA  VERONA, PALERMO, FERROVIE NORD MILANO, OSIMO, SPOLETO, TAORMINA, BOLOGNA, FERROVIE SUD EST, L'AQUILA, LATINA",0,,0,0,
2051,"2007-12-19 00:00:00",0,11,174,,,,,"0",0,0,"INTERVENTI SU EDIFICI SEDI DI ISTITUZIONI",0,,0,0,
2052,"2004-11-23 00:00:00",0,11,174,,,,,"0",0,0,"INTERVENTI SU EDIFICI SEDI DI ISTITUZIONI",0,,0,0,
2053,"2004-10-20 00:00:00",0,11,176,,,,,"0",0,0,"ADEGUAMENTO SS 28 COLLE DI NAVA",0,,0,0,
2054,"2004-10-20 00:00:00",0,11,177,,,,,"0",0,0,"RELAZIONE SULLO STATO DI ATTUAZIONE DEGLI INVESTIMENTI AL 31 DICEMBRE 2003 PREVISTI DAI CONTRATTI DI PROGRAMMA FS.S.P.A. 1994/2000 E 2001/2005 ",0,,0,0,
2055,"2006-03-21 00:00:00",0,11,178,,,,,"0",0,0,"LINEA 6 METROPOLITANA DI NAPOLI TRATTA ""MOSTRA-S.PASQUALE-MUNICIPIO""",0,,0,0,
2056,"2004-10-20 00:00:00",0,11,178,,,,,"0",0,0,"LINEA 6 METROPOLITANA DI NAPOLI TRATTA ""MOSTRA-S.PASQUALE-MUNICIPIO""",0,,0,0,
2057,"2007-09-26 00:00:00",0,11,179,,,,,"0",0,0,"CORRIDOIO JONICO ""TARANTO-SIBARI-REGGIO CALABRIA SS 106 JONICA",0,,0,0,
2058,"2004-10-20 00:00:00",0,11,179,,,,,"0",0,0,"CORRIDOIO JONICO ""TARANTO-SIBARI-REGGIO CALABRIA SS 106 JONICA",0,,0,0,
2059,"2004-10-20 00:00:00",0,11,180,,,,,"0",0,0,"SS 28 VARIANTE IMPERIA-AURELIA BIS",0,,0,0,
2060,"2004-10-20 00:00:00",0,11,181,,,,,"0",0,0,"SCHEMA IDRICO MOLISANO CENTRALE (progetto definitivo)",0,,0,0,
2061,"2004-10-20 00:00:00",0,11,182,,,,,"0",0,0,"RELAZIONE UVER STATO ATTUAZIONE COMPLETAMENTO OPERE L. 208/98 2° SEMESTRE 2003)",0,,0,0,
2062,"2004-11-23 00:00:00",0,11,183,,,,,"0",0,0,"HUB PORTUALE DI TRIESTE",0,,0,0,
2063,"2004-11-23 00:00:00",0,11,184,,,,,"0",0,0,"METROPOLITANA DI PARMA",0,,0,0,
2064,"2005-05-24 00:00:00",0,11,184,,,,,"0",0,0,"METROPOLITANA DI PARMA",0,,0,0,
2065,"2004-04-01 00:00:00",0,11,184,,,,,"0",0,0,"METROPOLITANA DI PARMA",0,,0,0,
2066,"2005-12-20 00:00:00",0,11,185,,,,,"0",0,0,"L. 109/1994 - PROGRAMMA BENI CULTURALI TRIENNIO 2005/2007",0,,0,0,
2067,"2005-05-24 00:00:00",0,11,186,,,,,"0",0,0,"L. 109/1994 - PROGRAMMA EDILIZIA PENITENZIARIA TRIENNIO 2005/2007",0,,0,0,
2068,"2004-11-23 00:00:00",0,11,186,,,,,"0",0,0,"L. 109/1994 - PROGRAMMA EDILIZIA PENITENZIARIA TRIENNIO 2005/2007",0,,0,0,
2069,"2004-11-23 00:00:00",0,11,187,,,,,"0",0,0,"L. 211/1992 TRASPORTO RAPIDO DI MASSA FINANZIAMENTO DEFINITIVO L'AQUILA E LATINA, DEFINANZIAMENTO BOLOGNA",0,,0,0,
2070,"2005-05-24 00:00:00",0,11,188,,,,,"0",0,0,"METROPOLITANA COSTIERA DI RIMINI",0,,0,0,
2071,"2004-11-23 00:00:00",0,11,188,,,,,"0",0,0,"METROPOLITANA COSTIERA DI RIMINI",0,,0,0,
2072,"2007-07-17 00:00:00",0,11,189,,,,,"0",0,0,"ACQUEDOTTO MONTESCURO OVEST",0,,0,0,
2073,"2004-11-23 00:00:00",0,11,189,,,,,"0",0,0,"ACQUEDOTTO MONTESCURO OVEST",0,,0,0,
2074,"2006-01-26 00:00:00",0,11,189,,,,,"0",0,0,"ACQUEDOTTO MONTESCURO OVEST",0,,0,0,
2075,"2005-11-21 00:00:00",0,11,191,,,,,"0",0,0,"L. 109/1994 PROGRAMMA TRIENNALE 2004-2006 OPERE MARITTIME",0,,0,0,
2076,"2005-01-31 00:00:00",0,11,193,,,,,"0",0,0,"PIANO PLURIENNALE VIABILITA' NAZIONALE 2003 -2012",0,,0,0,
2077,"2007-12-19 00:00:00",0,11,194,,,,,"0",0,0,"ACQUEDOTTO MOLISANO  DESTRO (progetto definitivo)",0,,0,0,
2078,"2004-12-21 00:00:00",0,11,194,,,,,"0",0,0,"ACQUEDOTTO MOLISANO  DESTRO (progetto definitivo)",0,,0,0,
2079,"2005-11-23 00:00:00",0,11,194,,,,,"0",0,0,"ACQUEDOTTO MOLISANO  DESTRO (progetto definitivo)",0,,0,0,
2080,"2005-01-31 00:00:00",0,11,197,,,,,"0",0,0,"COMPLETAMENTO SS 2 CASSIA",0,,0,0,
2081,"2005-01-31 00:00:00",0,11,198,,,,,"0",0,0,"AMPLIAMENTO AUTOSTRADA A4 DA QUARTO D'ALTINO A VILLESSE",0,,0,0,
2082,"2005-01-31 00:00:00",0,11,199,,,,,"0",0,0,"BRETELLA AUTOSTRADALE CAMPOGALLIANO - SASSUOLO",0,,0,0,
2083,"2006-01-26 00:00:00",0,11,200,,,,,"0",0,0,"VARIANTE ALLA LINEA FERROVIARIA SALERNO – REGGIO CALABRIA IN LOCALITÀ CANNITELLO",0,,0,0,
2084,"2005-05-24 00:00:00",0,11,200,,,,,"0",0,0,"VARIANTE ALLA LINEA FERROVIARIA SALERNO – REGGIO CALABRIA IN LOCALITÀ CANNITELLO",0,,0,0,
2085,"2005-07-05 00:00:00",0,11,200,,,,,"0",0,0,"VARIANTE ALLA LINEA FERROVIARIA SALERNO – REGGIO CALABRIA IN LOCALITÀ CANNITELLO",0,,0,0,
2086,"2005-07-26 00:00:00",0,11,200,,,,,"0",0,0,"VARIANTE ALLA LINEA FERROVIARIA SALERNO – REGGIO CALABRIA IN LOCALITÀ CANNITELLO",0,,0,0,
2087,"2005-05-24 00:00:00",0,11,201,,,,,"0",0,0,"POTENZIAMENTO LINEA FERROVIARIA GIAMPILIERI – FIUMEFREDDO",0,,0,0,
2088,"2005-05-24 00:00:00",0,11,202,,,,,"0",0,0,"RACCORDO VILLESSE GORIZIA: ADEGUAMENTO A SEZIONE AUTOSTRADALE",0,,0,0,
2089,"2007-12-19 00:00:00",0,11,203,,,,,"0",0,0,"ACCESSIBILITÀ METROPOLITANA A NUOVO POLO FIERA DI MILANO: NODO DI INTERSCAMBIO AC/SFR/MM TRASPORTO PUBBLICO E PRIVATO SU GOMMA",0,,0,0,
2090,"2005-05-24 00:00:00",0,11,203,,,,,"0",0,0,"ACCESSIBILITÀ METROPOLITANA A NUOVO POLO FIERA DI MILANO: NODO DI INTERSCAMBIO AC/SFR/MM TRASPORTO PUBBLICO E PRIVATO SU GOMMA",0,,0,0,
2091,"2005-07-26 00:00:00",0,11,203,,,,,"0",0,0,"ACCESSIBILITÀ METROPOLITANA A NUOVO POLO FIERA DI MILANO: NODO DI INTERSCAMBIO AC/SFR/MM TRASPORTO PUBBLICO E PRIVATO SU GOMMA",0,,0,0,
2092,"2005-05-24 00:00:00",0,11,204,,,,,"0",0,0,"COLLEGAMENTO FERROVIARIO CON L’AEROPORTO MARCO POLO DI VENEZIA",0,,0,0,
2093,"2005-05-24 00:00:00",0,11,205,,,,,"0",0,0,"POTENZIAMENTO DELLA LINEA RHO – ARONA: TRATTA RHO - GALLARATE",0,,0,0,
2094,"2005-05-24 00:00:00",0,11,207,,,,,"0",0,0,"DIRETTRICE ORTE - FALCONARA - RADDOPPIO TRATTA FERROVIARIA SPOLETO-TERNI",0,,0,0,
2095,"2005-05-24 00:00:00",0,11,208,,,,,"0",0,0,"L. 109/1994 PROGRAMMA DEI LAVORI PUBBLICI  TRIENNIO 2005-2007 ",0,,0,0,
2096,"2005-07-05 00:00:00",0,11,210,,,,,"0",0,0,"SCHEMA DI QUARTO ADDENDUM AL CONTRATTO DI PROGRAMMA 2001-2005 CON FS - RFI",0,,0,0,
2097,"2007-07-17 00:00:00",0,11,211,,,,,"0",0,0,"CONTRATTO DI PROGRAMMA ANAS 2003-2005",0,,0,0,
2098,"2005-07-05 00:00:00",0,11,213,,,,,"0",0,0,"(SOGESID) TRASFERIMENTO RISORSE ORDINANZA PROTEZIONE CIVILE N. 3100/2000 – REGIONE CAMPANIA - BONIFICA E TUTELA DELLE ACQUE",0,,0,0,
2099,"2005-07-05 00:00:00",0,11,214,,,,,"0",0,0,"RADDOPPIO LINEA FERROVIARIA GENOVA VENTIMIGLIA - TRATTA FINALE LIGURE – ANDORA",0,,0,0,
2100,"2005-07-05 00:00:00",0,11,215,,,,,"0",0,0,"LINEA 1 METROPOLITANA DI NAPOLI TRATTA CENTRO DIREZIONALE - CAPODICHINO",0,,0,0,
2101,"2005-07-05 00:00:00",0,11,216,,,,,"0",0,0,"L. 109/1994 PROGRAMMA TRIENNALE DIPARTIMENTO TRASPORTI TERRESTRI 2005/2007",0,,0,0,
2102,"2005-07-05 00:00:00",0,11,217,,,,,"0",0,0,"TANGENZIALE DI LUCCA",0,,0,0,
2103,"2005-07-05 00:00:00",0,11,218,,,,,"0",0,0,"SECONDO AGGIORNAMENTO PROGRAMMA INFRASTRUTTURE STRATEGICHE ",0,,0,0,
2104,"2005-07-26 00:00:00",0,11,219,,,,,"0",0,0,"AUTOSTRADA BRESCIA BERGAMO MILANO",0,,0,0,
2105,"2005-07-26 00:00:00",0,11,221,,,,,"0",0,0,"POTENZIAMENTO LINEA FERROVIARIA TORINO-BUSSOLENO",0,,0,0,
2106,"2005-07-26 00:00:00",0,11,222,,,,,"0",0,0,"COLLEGAMENTO AUTOSTRADALE DALMINE– COMO – VARESE - PEDEMONTANA LOMBARDA",0,,0,0,
2107,"2005-07-26 00:00:00",0,11,223,,,,,"0",0,0,"TANGENZIALE EST ESTERNA DI MILANO",0,,0,0,
2108,"2005-07-26 00:00:00",0,11,224,,,,,"0",0,0,"DIRETTRICE ORTE - FALCONARA - NODO FERROVIARIO DI FALCONARA",0,,0,0,
2109,"2005-12-20 00:00:00",0,11,241,,,,,"0",0,0,"INTERPORTO DI NOVARA",0,,0,0,
2140,"2002-12-17 00:00:00",0,12,25,,,,,"0",0,0,"FSN 2001 - BORSE DI STUDIO IN MEDICINA GENERALE (2° annualità 2000-2002)",0,,0,0,
2141,"2002-12-17 00:00:00",0,12,26,,,,,"0",0,0,"FSN 2000 - ASSISTENZA AGLI HANSENIANI E LORO FAMILIARI A CARICO",0,,0,0,
2142,"2003-01-21 00:00:00",0,12,27,,,,,"0",0,0,"FSN 2002 - RIPARTO DISPONIBILITA' SSN",0,,0,0,
2143,"2003-05-27 00:00:00",0,12,29,,,,,"0",0,0,"FSN 1999-2001 - PREVENZIONE E CURA DELLA FIBROSI CISTICA PER LA RICERCA",0,,0,0,
2144,"2003-05-27 00:00:00",0,12,30,,,,,"0",0,0,"FSN. 2001-2002 - RIPARTIZIONE QUOTA ACCANTONATA PER  CITTADINI EXTRACOMUNITARI",0,,0,0,
2145,"2003-05-27 00:00:00",0,12,31,,,,,"0",0,0,"FSN 2002 - RIPARTIZIONE SOMME VINCOLATE  PER IL PERSONALE DIRIGENTE",0,,0,0,
2146,"2003-05-27 00:00:00",0,12,32,,,,,"0",0,0,"FSN 2002 - RIPARTO DISPONIBILITA' SSN",0,,0,0,
2147,"2003-06-24 00:00:00",0,12,33,,,,,"0",0,0,"FSN 2003 SOMME VINCOLATE PER AMMORTAMENTO MUTUI PRE-RIFORMA CASSA DD.PP. (N.I.)",0,,0,0,
2148,"2003-07-22 00:00:00",0,12,34,,,,,"0",0,0,"FSN 2000 - INTEGRAZIONE PER IL MINOR GETTITO IRAP E ADDIZIONALE IRPEF",0,,0,0,
