"Codice_Cipe","Data_Cipe","Progressivo_Cipe","Codice_Titolario","Numero_Fascicolo","Numero_SottoFascicolo","Codice_Registro","Codice_Registro2","Codice_Registro3","Codice_TipoArgomentoCipe","Codice_ArgomentoCipe","Numero_OdgCipe","Oggetto_Cipe","Codice_Ufficio","Codice_RisultanzaCipe","Codice_EsitoCipe","Codice_TipoEsitoCipe","Numero_Delibera","Annotazioni_Cipe"
41486,"2013-03-08 00:00:00",13,3,15,0,5413,,,0,24,"6","Relazione sull’utilizzo dei fondi ripartiti dalla delibera CIPE 61/2011, punto 3 sulle misure compensative per le Province ed i Comuni ospitanti le centrali elettronucleari e le istallazioni del ciclo del combustibile nucleare",,0,4,13,0,""
41487,"2013-03-08 00:00:00",14,11,351,3,5417,,,0,0,"7","Sisma 2009 Regione Abruzzo: aggiornamento dei fabbisogni e riprogrammazione delle risorse assegnate dalla delibera CIPE n. 47/2009 a favore degli interventi di messa in sicurezza degli edifici scolastici danneggiati dal sisma",,0,4,8,18,""
41488,"2013-03-08 00:00:00",15,2,41,0,5426,,,0,0,"8","Attribuzione alle Regioni della quarta tranche del Fondo di premialità Conti pubblici territoriali di cui alla delibera CIPE n. 19/ 2008, con rimodulazione delle quote premiali e modifica delle regole di attribuzione",,0,4,8,19,""
41489,"2013-03-08 00:00:00",16,11,215,0,5422,,,0,41,"9","Metropolitana di Napoli: informativa sul progetto definitivo della linea 1 della metropolitana di Napoli tratta Centro direzionale - Capodichino",,0,4,10,0,""
41490,"2013-03-08 00:00:00",17,0,0,0,0,,,0,0,"10","Varie ed eventuali",,0,0,1,0,""
39360,"2011-08-03 00:00:00",1,11,223,0,4598,4628,4632,0,2,"1a","Tangenziale Esterna Est di Milano: approvazione progetto definitivo",,0,4,8,51,""
39361,"2011-08-03 00:00:00",2,11,199,0,,,,0,2,"1b","Raccordo autostradale Campogalliano – Sassuolo di collegamento tra la A22 e la SS 467 Pedemontana. Integrazione prescrizioni della delibera CIPE n. 62/2010",,0,4,8,52,""
39362,"2011-08-03 00:00:00",3,11,242,0,4094,,4150,0,2,"1c","Itinerario Ragusa – Catania: ammodernamento a quattro corsie della SS 514 “di Chiaramonte” e della SS 194 “Ragusana” dallo svincolo con la SS 115 allo svincolo con la SS 114. Integrazione prescrizioni della delibera CIPE n. 71/2010",,0,4,8,53,""
39363,"2011-08-03 00:00:00",4,11,224,0,4599,,,0,2,"1d","Collegamento Orte Falconara con la linea adriatica – nodo di Falconara – 1° lotto funzionale: progetto definitivo",,0,4,8,54,""
39364,"2011-08-03 00:00:00",5,11,127,0,4609,,,0,2,"1e","Direttrice Civitavecchia – Orte – Terni – Rieti, tratto Terni (loc. San Carlo) – confine regionale: approvazione variante al progetto definitivo approvato con delibera CIPE n. 131/2003",,0,4,8,55,""
39365,"2011-08-03 00:00:00",6,11,179,0,4610,,,0,2,"1f","Adeguamento S.S. 534 come raccordo autostradale (cat.B) – megalotto 4 - collegamento autostrada A3 (svincolo di Firmo) – S.S. Jonica (svincolo di Sibari): approvazione progetto definitivo",,0,4,8,56,""
39366,"2011-08-03 00:00:00",7,11,126,0,4668,4669,4679,0,2,"1g","Esame tecnico progetto preliminare collegamento ferroviario Torino-Lione, parte comune, sezione italiana. Approvazione ex art. n. 165 Dlgs. N. 163/2006",,0,4,8,57,""
39367,"2011-08-03 00:00:00",8,11,414,0,4596,4622,,0,2,"1h","Aggiornamento Linee guida antimafia (art. 176, comma 3, lett. e) decreto legislativo n. 163/2006)",,0,4,8,58,""
39368,"2011-08-03 00:00:00",9,11,249,0,4428,4568,4636,0,2,"1i","Schema idrico Basento – Bradano: variazione del soggetto aggiudicatore",,0,4,8,59,""
39369,"2011-08-03 00:00:00",10,14,74,0,4431,4443,4594,0,11,"2","Schema di contratto di programma ENAC – GESAP S.p.A. 2011-2014 per la gestione dell’aeroporto di Palermo Punta Raisi",,0,4,8,60,""
39370,"2011-08-03 00:00:00",11,3,15,0,4380,4425,4448,0,24,"3","Ripartizione delle risorse per gli anni 2008 e 2009 per le misure compensative a favore dei siti che ospitano centrali nucleari dismesse e impianti del ciclo del combustibile nucleare",,0,4,8,61,""
39371,"2011-08-03 00:00:00",12,2,108,0,4654,4655,,0,5,"4","FAS - PAR 2007-2013 e approvazione documento programmatico per la selezione degli interventi strategici coerenti con le priorità del Piano Nazionale per il Sud (P.4 del. CIPE 1/2011)",,0,4,8,62,"INDIVIDUAZIONE ED ASSEGNAZIONE PIANO NAZIONALE PER IL SUD"
39372,"2011-08-03 00:00:00",13,2,92,0,4657,,,0,5,"4","FAS - PAR 2007-2013 e approvazione documento programmatico per la selezione degli interventi strategici coerenti con le priorità del Piano Nazionale per il Sud (punto 4 della delibera CIPE n. 1/2011). REGIONE MOLISE",,0,4,9,63,"PAR REGIONE MOLISE"
39373,"2011-08-03 00:00:00",14,2,109,0,4659,,,0,5,"4","FAS - PAR 2007-2013 e approvazione documento programmatico per la selezione degli interventi strategici coerenti con le priorità del Piano Nazionale per il Sud (punto 4 della delibera CIPE n. 1/2011). REGIONE ABRUZZO",,0,4,9,64,"PAR REGIONE ABRUZZO"
39374,"2011-08-03 00:00:00",15,2,111,0,4660,,,0,5,"4","FAS - PAR 2007-2013 e approvazione documento programmatico per la selezione degli interventi strategici coerenti con le priorità del Piano Nazionale per il Sud (punto 4 della delibera CIPE n. 1/2011). REGIONE SICILIA (disavanzo sanitario)",,0,4,9,77,"RICHIESTA REGIONE SICILIA UTILIZZO 686 MEURO PAR SICILIA PER RIPIANO DISAVANZO SANITARIO"
39375,"2011-08-03 00:00:00",16,8,108,0,4624,4656,,0,34,"5a","Modifica delibera CIPE n. 28/2011 “Contratto di programma IVECO S.p.A.” (subentro di FPT Industrial S.p.A. nella titolarità del contratto)",,0,4,8,65,""
39376,"2011-08-03 00:00:00",17,8,206,0,4262,4671,,0,34,"5b","Approvazione proposta di contratto di programma Gruppo SEDA",,0,4,8,66,""
39377,"2011-08-03 00:00:00",18,8,188,0,4663,4664,,0,34,"5c","Aggiornamento della proposta di contratto di programma Consorzio Prokemia",,0,4,8,67,""
39378,"2011-08-03 00:00:00",19,12,107,0,4464,4577,,0,28,"6a","Fondo sanitario nazionale 2002-2008: ripartizione tra le Regioni, a titolo di rimborso, delle risorse vincolate destinate all’erogazione di sussidi economici ai cittadini affetti dal morbo di Hansen e ai loro familiari",,0,4,8,68,""
39379,"2011-08-03 00:00:00",20,12,105,0,4307,4590,,0,28,"6b","Fondo sanitario nazionale 2010: ripartizione tra le Regioni della quota destinata al finanziamento della sanita’ penitenziaria",,0,4,8,69,""
39380,"2011-08-03 00:00:00",21,7,75,0,4367,,,0,0,"7","Integrazione della delibera CIPE n. 92/2009: estensione al settore sanitario e della formazione delle agevolazioni previste dall’articolo 7 della legge n. 49/1987 (Ministero degli affari esteri)",,0,4,8,70,""
39381,"2011-08-03 00:00:00",22,2,76,0,,4565,4570,0,0,"8","Assegnazione compensi annuali 2009 e 2010 a favore della Gestione Commissariale delle attività ex Agensud (articolo19, comma 5, del decreto legge n. 32/1995)",,0,4,8,71,""
39382,"2011-08-03 00:00:00",23,11,408,0,,,,0,12,"9a","Parco nazionale del Pollino: Programma triennale 2011-2013",,0,4,8,72,""
39383,"2011-08-03 00:00:00",24,11,410,0,,4588,,0,12,"9b","Parco nazionale della Maiella: Programma triennale 2011-2013",,0,4,8,73,""
39384,"2011-08-03 00:00:00",25,11,35,0,4604,4605,4612,0,12,"9c","Parco nazionale delle Dolomiti bellunesi: Programma triennale 2011-2013",,0,4,8,74,""
39385,"2011-08-03 00:00:00",26,1,16,0,,,,0,21,"10a","Relazione sulle attività svolte nel 2010 dall’Unità Tecnica Finanza di Progetto",,0,4,8,75,""
39386,"2011-08-03 00:00:00",27,11,105,0,4521,,,0,21,"10b","Relazione semestrale al 31 dicembre 2010 sullo stato di avanzamento del 1° e del 2° Programma stralcio del Piano di messa in sicurezza degli edifici scolastici (legge n. 298/2002)",,0,4,8,76,""
39387,"2011-08-03 00:00:00",28,12,50,0,4672,,,0,21,"10c","Relazione sullo stato di attuazione del progetto “Mattone internazionale’’ finanziato con le risorse vincolate sul Fondo sanitario nazionale 2004 ai sensi dell’art. 1  commi 34 e 34 bis della legge n. 662/1996  (delibera CIPE n.99/2008)",,0,0,13,0,""
39388,"2011-08-03 00:00:00",29,10,12,0,4681,,,0,0,"11","Informativa sulla Fondazione di ricerca oncologica tra l'Università di Tor Vergata e l'Università di Harvard",,0,0,10,0,""
39389,"2011-08-03 00:00:00",30,0,0,0,,,,0,0,"12","Varie ed eventuali",,0,0,1,0,""
39390,"2011-09-30 00:00:00",1,2,108,0,4700,,,0,0,"1","Piano Nazionale per il Sud. Interventi strategici volti al rafforzamento del sistema delle Università",,0,4,8,78,""
39391,"2011-09-30 00:00:00",2,2,109,0,4701,,,0,5,"2","Programma Attuativo Regionale (PAR) FAS 2007/2013 della Regione Abruzzo;",,0,4,8,79,""
39392,"2011-09-30 00:00:00",3,2,103,0,4703,,,0,0,"3","Rapporto intermedio redatto dall’UVER su attività verifica ex Delibera CIPE n. 79/2010 relativa allo stato di attuazione degli interventi finanziati dal FAS 2000-2006;",,0,4,8,80,""
39393,"2011-09-30 00:00:00",4,2,111,0,4702,,,0,5,"4","Assegnazione di 200 milioni, a valere sul Programma Attuativo Regionale (PAR) FAS 2007/2013 della Regione Siciliana, per l’Accordo di programma “Polo industriale di Termini Imerese”.",,0,4,8,81,""
39394,"2011-10-13 00:00:00",1,2,92,0,4716,,,2,28,"1","Copertura del disavanzo sanitario della Regione Molise",,0,4,8,82,""
32738,"2001-05-03 00:00:00",0,1,2,,,,,0,0,"0","MODALITA'  ATTUAZIONE ART.57 L. 388/2000 IN MATERIA DI FINANZA DI PROGETTO  E REGOLAMENTO UNITA' TECNICA FINANZA DI PROGETTO (UTFP)",5,0,4,8,0,
32739,"2001-11-15 00:00:00",0,1,3,,,,,0,0,"0","MODIFICA DELIBERA N.141/1999 DEVOLUZIONE COMPETENZE IN MATERIA DI TRATTAMENTI DI INTEGRAZIONE SALARIALE",9,0,4,8,0,
32740,"2001-02-01 00:00:00",0,1,3,,,,,0,0,"0","MODIFICA DELIBERA N.141/1999 DEVOLUZIONE COMPETENZE IN MATERIA DI TRATTAMENTI DI INTEGRAZIONE SALARIALE",9,0,4,8,0,
32741,"2001-11-15 00:00:00",0,1,4,,,,,0,0,"0","RELAZIONE  UNITA' TECNICA FINANZA DI PROGETTO (UTFP) AL 31 LUGLIO 2001",5,0,4,8,0,
32742,"2002-03-28 00:00:00",0,1,5,,,,,0,0,"0","RELAZIONE  UNITA' TECNICA FINANZA DI PROGETTO (UTFP) AL 31 GENNAIO 2002",5,0,4,8,0,
32743,"2003-03-14 00:00:00",0,1,6,,,,,0,0,"0","RELAZIONE  UNITA' TECNICA FINANZA DI PROGETTO (UTFP) AL 31 DICEMBRE 2002",5,0,4,8,0,
32745,"2005-05-27 00:00:00",0,1,8,,,,,0,0,"0","RELAZIONE  UNITA' TECNICA FINANZA DI PROGETTO (UTFP) ANNO 2004",26,0,2,8,0,
32746,"2006-11-17 00:00:00",0,1,9,,,,,0,0,"0","RELAZIONE  UNITA' TECNICA FINANZA DI PROGETTO (UTFP) GIUGNO 2004 - DICEMBRE 2005",26,0,0,0,0,
32747,"2001-03-08 00:00:00",0,2,1,,,,,0,0,"0","PROGETTO AMMODERNAMENTO IMPIANTO IRRIGUO IN AGRO DI CASSINO E SANT'ELIA FIUMERAPIDO (III PIANO ANNUALE ATTUAZIONE  L. 64/86)",2,0,4,8,0,
32748,"2001-03-08 00:00:00",0,2,2,,,,,0,0,"0","FONDO EX ART.19 DLGS 96/93 ASSEGNAZIONI ANNO 2001",2,0,4,8,0,
32751,"2001-05-03 00:00:00",0,2,5,,,,,0,0,"0","MIP - RETE NUCLEI VALUTAZIONE - RIPARTO RISORSE 2001",0,0,4,8,0,
32754,"2001-05-03 00:00:00",0,2,7,,,,,0,0,"0","PROGETTO SVILUPPO ITALIA ""ATTRAZIONE INVESTIMENTI E MARKETING TERRITORIALE""",2,0,4,8,0,
32755,"2001-05-03 00:00:00",0,2,8,,,,,0,0,"0","FONDO EX ART.19 DLGS 96/93 ULTERIORI ASSEGNAZIONI ANNO 2001",2,0,4,8,0,
32756,"2001-05-03 00:00:00",0,2,9,,,,,0,0,"0","DUPIM (ISOLE MINORI):FINANZIAMENTO DELIBERA 15/2/2000",4,0,4,13,0,
32757,"2001-05-03 00:00:00",0,2,10,,,,,0,0,"0","URBAN II  DI PRATO E PROGRAMMI RIQUALIFICAZIONE URBANA COMUNE VARAZZE",5,0,4,13,0,
32758,"2001-05-03 00:00:00",0,2,11,,,,,0,0,"0","RISORSE AREE DEPRESSE: MODIFICA DELIBERE 133/98 E 138/2000  ASSEGNAZIONE MIN. LAVORO",2,0,4,8,0,
32760,"2001-12-21 00:00:00",0,2,12,,,,,0,0,"0","RAPPORTI SEMESTRALI  MIP CUP NUVV (L. 144/99 ART. 1 C.6) RELAZIONI SEMESTRALI MIP-CUP DA 2003 A I SEMESTRE 2007",2,0,4,8,0,
32761,"2003-12-19 00:00:00",0,2,12,,,,,0,0,"0","RAPPORTI SEMESTRALI  MIP CUP NUVV (L. 144/99 ART. 1 C.6) RELAZIONI SEMESTRALI MIP-CUP DA 2003 A I SEMESTRE 2007",2,0,4,8,0,
32763,"2007-03-16 00:00:00",0,2,12,,,,,0,0,"0","RAPPORTI SEMESTRALI  MIP CUP NUVV (L. 144/99 ART. 1 C.6) RELAZIONI SEMESTRALI MIP-CUP DA 2003 A I SEMESTRE 2007",2,0,4,8,0,
32764,"2001-11-15 00:00:00",0,2,13,,,,,0,0,"0","RELAZIONE SU PROGETTO CONTI PUBBLICI TERRITORIALI",2,0,4,13,0,
32765,"2001-11-15 00:00:00",0,2,14,,,,,0,0,"0","UTILIZZO RISORSE AREE DEPRESSE DA PARTE DELLA REGIONE SICILIA",2,0,4,13,0,
32766,"2001-11-15 00:00:00",0,2,15,,,,,0,0,"0","PROGRAMMA STATISTICO NAZIONALE 2002-2004",2,0,4,8,0,
32767,"2001-11-15 00:00:00",0,2,16,,,,,0,0,"0","MODIFICA DELIBERA N.67/2000 COFINANZIAMENTO NAZIONALE INTERREG III",2,0,4,8,0,
32768,"2001-11-15 00:00:00",0,2,17,,,,,0,0,"0","MODIFICA DELIBERA CIPE SU FONDO DI INCENTIVAZIONE REGIONE FRIULI (FRIE)",2,0,4,8,0,
32769,"2007-06-15 00:00:00",0,2,18,,,,,0,0,"0","RIPARTO RISORSE PER AREE DEPRESSE 2002-2004",2,0,4,8,0,
32770,"2002-05-03 00:00:00",0,2,18,,,,,0,0,"0","RIPARTO RISORSE PER AREE DEPRESSE 2002-2004",2,0,4,8,0,
32771,"2002-06-06 00:00:00",0,2,18,,,,,0,0,"0","RIPARTO RISORSE PER AREE DEPRESSE 2002-2004",2,0,4,8,0,
32772,"2002-08-02 00:00:00",0,2,18,,,,,0,0,"0","RIPARTO RISORSE PER AREE DEPRESSE 2002-2004",2,0,4,8,0,
32773,"2003-03-14 00:00:00",0,2,19,,,,,0,0,"0","FONDO EX ART.19 DLGS 96/93 ASSEGNAZIONI ANNO 2002",2,0,4,8,0,
32774,"2002-03-28 00:00:00",0,2,19,,,,,0,0,"0","FONDO EX ART.19 DLGS 96/93 ASSEGNAZIONI ANNO 2002",2,0,4,8,0,
32775,"2002-08-02 00:00:00",0,2,19,,,,,0,0,"0","FONDO EX ART.19 DLGS 96/93 ASSEGNAZIONI ANNO 2002",2,0,4,8,0,
32776,"2002-09-29 00:00:00",0,2,19,,,,,0,0,"0","FONDO EX ART.19 DLGS 96/93 ASSEGNAZIONI ANNO 2002",2,0,4,8,0,
32777,"2002-10-31 00:00:00",0,2,19,,,,,0,0,"0","FONDO EX ART.19 DLGS 96/93 ASSEGNAZIONI ANNO 2002",2,0,4,8,0,
32779,"2002-03-28 00:00:00",0,2,20,,,,,0,0,"0","CODICE UNICO DI PROGETTO (CUP)",2,0,4,8,0,
32780,"2002-12-27 00:00:00",0,2,20,,,,,0,0,"0","CODICE UNICO DI PROGETTO (CUP)",2,0,4,8,0,
32781,"2003-07-25 00:00:00",0,2,20,,,,,0,0,"0","CODICE UNICO DI PROGETTO (CUP)",2,0,4,8,0,
32782,"2002-06-14 00:00:00",0,2,21,,,,,0,0,"0","RELAZIONE 2001 E ATTIVITA' 2002 DELLA COMMISSIONE TECNICA SPESA PUBBLICA",2,0,4,8,0,
32783,"2002-08-02 00:00:00",0,2,22,,,,,0,0,"0","INTESA REGIONE LIGURIA - MODIFICA DELIBERE 84/2000 E 138/2000",2,0,4,8,0,
32784,"2002-09-29 00:00:00",0,2,23,,,,,0,0,"0","RELAZIONE PREVISIONALE E PROGRAMMATICA 2003",2,0,4,8,0,
32785,"2002-10-24 00:00:00",0,2,24,,,,,0,0,"0","RIMODULAZIONE RIPARTI RISORSE AREE DEPRESSE 1999-2000 - ANTICIPAZIONE PER CREDITO D'IMPOSTA",2,0,4,8,0,
32786,"2002-12-19 00:00:00",0,2,25,,,,,0,0,"0","PROGRAMMA QUADRO SVILUPPO ITALIA PER LO SVOLGIMENTO DELLE MISSIONI ATTRIBUITE DAL DPEF 2003-2006",2,0,4,8,0,
32790,"2003-01-31 00:00:00",0,2,28,,,,,0,0,"0","PROGRAMMA STATISTICO NAZIONALE 2003-2005",2,0,4,8,0,
32791,"2003-12-19 00:00:00",0,2,29,,,,,0,0,"0","FONDO EX ART.19 DLGS 96/93 ASSEGNAZIONI ANNO 2003",2,0,4,8,0,
32792,"2003-07-25 00:00:00",0,2,29,,,,,0,0,"0","FONDO EX ART.19 DLGS 96/93 ASSEGNAZIONI ANNO 2003",2,0,4,8,0,
32793,"2003-01-31 00:00:00",0,2,30,,,,,0,0,"0","ATTIVITA' OPERATIVITA' NUCLEI VALUTAZIONE EX LEGE 144/1999",2,0,4,13,0,
32794,"2003-01-31 00:00:00",0,2,31,,,,,0,0,"0","DIRETTIVE A PATRIMONIO SPA",2,0,4,8,0,
32795,"2008-03-27 00:00:00",0,2,32,,,,,0,0,"0","FONDI PER LE AREE SOTTOUTILIZZATE EX ARTT.61 E 62 LEGGE FINANZIARIA 2003 (FONDI MEF E MAP) 2003 - 2005",2,0,4,8,0,
32796,"2003-05-09 00:00:00",0,2,32,,,,,0,0,"0","FONDI PER LE AREE SOTTOUTILIZZATE EX ARTT.61 E 62 LEGGE FINANZIARIA 2003 (FONDI MEF E MAP) 2003 - 2005",2,0,4,8,0,
32797,"2003-11-13 00:00:00",0,2,32,,,,,0,0,"0","FONDI PER LE AREE SOTTOUTILIZZATE EX ARTT.61 E 62 LEGGE FINANZIARIA 2003 (FONDI MEF E MAP) 2003 - 2005",2,0,4,8,0,
32798,"2004-01-29 00:00:00",0,2,32,,,,,0,0,"0","FONDI PER LE AREE SOTTOUTILIZZATE EX ARTT.61 E 62 LEGGE FINANZIARIA 2003 (FONDI MEF E MAP) 2003 - 2005",2,0,4,8,0,
32800,"2005-03-18 00:00:00",0,2,32,,,,,0,0,"0","FONDI PER LE AREE SOTTOUTILIZZATE EX ARTT.61 E 62 LEGGE FINANZIARIA 2003 (FONDI MEF E MAP) 2003 - 2005",2,0,4,8,0,
32801,"2005-05-27 00:00:00",0,2,32,,,,,0,0,"0","FONDI PER LE AREE SOTTOUTILIZZATE EX ARTT.61 E 62 LEGGE FINANZIARIA 2003 (FONDI MEF E MAP) 2003 - 2005",2,0,4,8,0,
32802,"2006-11-17 00:00:00",0,2,32,,,,,0,0,"0","FONDI PER LE AREE SOTTOUTILIZZATE EX ARTT.61 E 62 LEGGE FINANZIARIA 2003 (FONDI MEF E MAP) 2003 - 2005",2,0,4,8,0,
32803,"2006-12-22 00:00:00",0,2,32,,,,,0,0,"0","FONDI PER LE AREE SOTTOUTILIZZATE EX ARTT.61 E 62 LEGGE FINANZIARIA 2003 (FONDI MEF E MAP) 2003 - 2005",2,0,4,8,0,
32804,"2007-09-28 00:00:00",0,2,32,,,,,0,0,"0","FONDI PER LE AREE SOTTOUTILIZZATE EX ARTT.61 E 62 LEGGE FINANZIARIA 2003 (FONDI MEF E MAP) 2003 - 2005",2,0,4,8,0,
32805,"2003-07-25 00:00:00",0,2,33,,,,,0,0,"0","RELAZIONE 2002 COMMISSIONE TECNICA SPESA PUBBLICA",2,0,4,13,0,
32806,"2003-07-25 00:00:00",0,2,34,,,,,0,0,"0","CREDITO DI IMPOSTA AGLI INVESTIMENTI: RIALLOCAZIONE RISORSE PER LE AREE SOTTOUTILIZZATE TRIENNO 2003 – 2005",2,0,4,8,0,
32807,"2003-11-13 00:00:00",0,2,35,,,,,0,0,"0","PROGRAMMA STATISTICO NAZIONALE 2004-2006",2,0,4,8,0,
32809,"2003-11-13 00:00:00",0,2,37,,,,,0,0,"0","ASSEGNAZIONE ALLE INTESE DEI RESIDUI DELL'ACCANTONAMENTO PER PREMIALITA'",5,0,4,8,0,
32810,"2003-12-05 00:00:00",0,2,38,,,,,0,0,"0","RIPARTO DELL'INDICIZZAZIONE 2004 - 2006 RELATIVA AL PROGRAMMA DI INIZIATIVA COMUNITARIA INTERREG III",2,0,4,13,0,
32811,"2003-12-05 00:00:00",0,2,39,,,,,0,0,"0","RIPROGRAMMAZIONE RISORSE DELIBERA CIPE 20.11.1995 REGIONE SICILIA - emergenza idrica",2,0,4,8,0,
32812,"2003-12-19 00:00:00",0,2,40,,,,,0,0,"0","RETE NUCLEI VALUTAZIONE (NUVV) - RIPARTO RISORSE 2003",2,0,4,8,0,
32813,"2006-03-22 00:00:00",0,2,41,,,,,0,0,"0","FONDO PREMIALITA' CONTI PUBBLICI TERRITORIALI",2,0,4,8,0,
32814,"2003-12-19 00:00:00",0,2,41,,,,,0,0,"0","FONDO PREMIALITA' CONTI PUBBLICI TERRITORIALI",2,0,4,8,0,
32818,"2005-03-18 00:00:00",0,2,42,,,,,0,0,"0","RIPARTO FONDI AREE SOTTOUTILIZZATE PERIODO 2004/2007 (FONDI MEF E MAP)",2,0,4,8,0,
