"Codice_Delibera","Data_Delibera","Numero_Delibera","Numero_Verbale","Codice_Settore","Codice_Tipologia","Finanziamento","Codice_Funzionario","Codice_Funzionario2","Codice_Funzionario3","Data_Consegna","Consegna_Scheda","Nota_Consegna","Codice_Direttore","Data_DirettoreInvio","Data_DirettoreRitorno","Nota_Direttore","Invio_Ragioneria","Data_RagioneriaInvio","Data_RagioneriaRitorno","Nota_Ragioneria","Invio_Mef","Data_MefInvio","Data_MefPec","Data_MefRitorno","Osservazioni_Mef","Nota_Mef","Codice_Segretario","Data_SegretarioInvio","Data_SegretarioRitorno","Nota_Segretario","Codice_Presidente","Data_PresidenteInvio","Data_PresidenteRitorno","Nota_Presidente","Codice_Ufficio","Codice_Ufficio2","Codice_Ufficio3","Codice_StatoDelibera","Argomento","Nota_CC","Tipo_DocumentoCC","Numero_InvioCC","Data_InvioCC","Numero_RilievoCC","Data_RilievoCC","Numero_RispostaCC","Data_RispostaCC","Tipo_Rilievo","Nota_RilievoCC","Tipo_DocumentoCC2","Numero_RilievoCC2","Data_RilievoCC2","Numero_RispostaCC2","Data_RispostaCC2","Tipo_Rilievo2","Nota_RilievoCC2","Tipo_DocumentoCC3","Numero_RilievoCC3","Data_RilievoCC3","Numero_RispostaCC3","Data_RispostaCC3","Tipo_Rilievo3","Nota_RilievoCC3","Data_ConferenzaStatoRegioni","Numero_ConferenzaStatoRegioni","Nota_ConferenzaStatoRegioni","File_ConferenzaStatoRegioni","A_Data_ConferenzaStatoRegioni","A_Numero_ConferenzaStatoRegioni","A_Nota_ConferenzaStatoRegioni","A_File_ConferenzaStatoRegioni","Data_ConferenzaUnificata","Numero_ConferenzaUnificata","Nota_ConferenzaUnificata","File_ConferenzaUnificata","A_Data_ConferenzaUnificata","A_Numero_ConferenzaUnificata","A_Nota_ConferenzaUnificata","A_File_ConferenzaUnificata","Data_CommissioneParlamentare","Numero_CommissioneParlamentare","Nota_CommissioneParlamentare","File_CommissioneParlamentare","A_Data_CommissioneParlamentare","A_Numero_CommissioneParlamentare","A_Nota_CommissioneParlamentare","A_File_CommissioneParlamentare","Data_Parlamento","Nota_Parlamento","File_Parlamento","Registro_RegistrazioneCC","Foglio_RegistrazioneCC","Data_RegistrazioneCC","Numero_InvioGU","Data_InvioGU","Tipo_GU","Numero_GU","Data_GU","Nota_GU","Numero_EC","Data_EC","Numero_Co","Data_Co","Allegato_1","Allegato_2","Allegato_3","Tipo_Registrazione","Tipo_Pubblicazione","Inviata_Ragioneria","Nota_Cipe","Nota_ServizioCipe","Giorni_RilievoCC","Giorni_RilievoCC2","Giorni_RilievoCC3"
52,"1998-05-06 00:00:00",53,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"L. 67/1988 - Art. 20 seconda fase programma spec.",,,"7/6470","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","7","1998-07-01 00:00:00",,,0,"168","1998-07-21 00:00:00",,,,,,,,,,,FALSE,,,,,
53,"1998-05-06 00:00:00",52,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"L. 67/1988 - Art. 20 Programma naz. Sanità",,,"7/6469","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","6","1998-07-01 00:00:00",,,0,"169","1998-07-22 00:00:00",,,,,,,,,,,FALSE,,,,,
54,"1998-05-06 00:00:00",56,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"L. 67/1988 - Art. 20 settore materno infantile",,,"7/6468","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","400","1998-07-01 00:00:00",,,0,"168","1998-07-21 00:00:00",,,,,,,,,,,FALSE,,,,,
55,"1998-05-06 00:00:00",54,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"L. 450/77 Ammis. finanz. Compresi progr. Spec.",,,"7/6467","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","8","1998-07-01 00:00:00",,,0,"168","1998-07-21 00:00:00",,,,,,,,,,,FALSE,,,,,
56,"1998-05-06 00:00:00",57,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"L. 67/1988 - Art. 20 IZS Umbria e Marche",,,"7/6466","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","15","1998-07-03 00:00:00",,,0,"168","1998-07-21 00:00:00",,,,,,,,,,,FALSE,,,,,
57,"1998-05-06 00:00:00",58,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"F.S.N. 1995 - Hanseniani e loro fam.a carico",,,"7/6465","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","14","1998-07-03 00:00:00",,,0,"168","1998-07-21 00:00:00",,,,,,,,,,,FALSE,,,,,
58,"1998-05-06 00:00:00",59,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"F.S.N. 1998 - Mutui cassa depositi e prestiti",,,"7/6464","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","398","1998-07-01 00:00:00",,,0,"168","1998-07-21 00:00:00",,,,,,,,,,,FALSE,,,,,
59,"1998-05-06 00:00:00",60,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,0,0,0,,"F.S.E. 1994-1999 - Obiettivo 5b",,,"7/6463","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","397","1998-07-01 00:00:00",,,0,"168","1998-07-21 00:00:00",,,,,,"E980060allegato.xls","","",,,FALSE,"",,,,
60,"1998-05-06 00:00:00",61,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"CISD esportazioni Repubblica Popolare Cinese",,,"7/6595","1998-06-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","1","1998-07-01 00:00:00",,,0,"169","1998-07-22 00:00:00",,,,,,,,,,,FALSE,,,,,
61,"1998-05-06 00:00:00",62,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Comm.ne tecnica spesa pubblica","",0,"7/6703","1998-06-08 00:00:00","",,"",,0,"",0,"",,"",,0,"",0,"",,"",,0,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,0,"135","1998-06-12 00:00:00",,,,,,,,,6,,FALSE,,,,,
62,"1998-05-06 00:00:00",44,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"L. 80/84 - Consorzio Idrico Alto Calore",,,"7/7238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","26","1998-07-08 00:00:00",,,0,"169","1998-07-22 00:00:00",,"209","1998-09-08 00:00:00",,,,,,,,FALSE,,,,,
63,"1998-07-09 00:00:00",63,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Regolamento interno CIPE",,,"7/8161","1998-07-21 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","185","1998-08-07 00:00:00",,,0,"199","1998-08-27 00:00:00",,,,,,,,,,,FALSE,,,,,
64,"1998-07-09 00:00:00",64,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Delibera quadro (DOCUP) Umbria Marche",,,"7/8595","1998-08-03 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","278","1998-09-07 00:00:00",,,0,"228","1998-09-30 00:00:00",,,,,,,,,,,FALSE,,,,,
65,"1998-07-09 00:00:00",65,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Accel. Attività dodici patti territoriali",,,"7/8163","1998-07-21 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","207","1998-08-12 00:00:00",,,0,"207","1998-09-05 00:00:00",,,,,,,,,,,FALSE,,,,,
66,"1998-07-09 00:00:00",66,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Art. 25 L. 7/6/97 n. 196 - F.do per l'occupazione",,,"7/8243","1998-07-23 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","206","1998-08-12 00:00:00",,,0,"208","1998-09-07 00:00:00",,,,,,,,,,,FALSE,,,,,
67,"1998-07-09 00:00:00",67,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Art. 20 L. 67/88 - Finanz. Regione Emilia Romagna",,,"7/8244","1998-07-23 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","205","1998-08-12 00:00:00",,,0,"208","1998-09-07 00:00:00",,,,,,,,,,,FALSE,,,,,
68,"1998-07-09 00:00:00",68,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Art.11 L. 498/1996 Differimento termini",,,"7/8162","1998-07-21 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","186","1998-08-07 00:00:00",,,0,"197","1998-08-25 00:00:00",,,,,,,,,,,FALSE,,,,,
69,"1998-07-09 00:00:00",69,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Assegnazioni aree depresse - Modifiche e revoche",,,"7/9043","1998-08-31 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","2","1998-10-12 00:00:00",,,0,"251","1998-10-27 00:00:00",,,,,,,,,,,FALSE,,,,,
70,"1998-07-09 00:00:00",70,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,0,0,0,,"Art.1 c.1 L.208/98 - Riparto risorse",,,"7/8538","1998-07-30 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","184","1998-08-07 00:00:00",,,0,"209","1998-09-08 00:00:00",,,,,,"E980070allegato.doc","","",,,FALSE,"",,,,
71,"1998-07-09 00:00:00",71,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,0,0,0,,"L. 183/87 - Sviluppo locale/patti territoriali Regioni ob.1",,,"7/8429","1998-07-28 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","358","1998-10-07 00:00:00",,,0,"241","1998-10-15 00:00:00",,,,,,"E980071allegato.doc","","",,,FALSE,"",,,,
72,"1998-07-09 00:00:00",72,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Art. 2 L.493/93  - Parere su autorizz. opere pubbliche",,,"7/8428","1998-07-28 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","208","1998-08-12 00:00:00",,,0,"207","1998-09-05 00:00:00",,,,,,,,,,,FALSE,,,,,
73,"1998-07-09 00:00:00",73,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"L. 662/96 e L.135/97 - Riparto risorse aggiuntive",,,"7/8427","1998-07-28 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","209","1998-08-12 00:00:00",,,0,"207","1998-09-05 00:00:00",,,,,,,,,,,FALSE,,,,,
74,"1998-07-09 00:00:00",74,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"L.204/95 - Riordino gruppo FINMARE","",0,"7/9044","1998-08-31 00:00:00","",,"",,0,"",0,"",,"",,0,"",0,"",,"",,0,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",,,,0,"207","1998-09-05 00:00:00",,,,,,,,,6,,FALSE,,,,,
75,"1998-07-09 00:00:00",75,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"L. n.449 27/12/97 Indiv. Aree urbane svantaggiate",,,"7/8852","1998-08-12 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","289","1998-09-14 00:00:00",,,0,"228","1998-09-30 00:00:00",,"278","1998-11-27 00:00:00",,,,,,,,FALSE,,,,,
76,"1998-07-09 00:00:00",76,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,0,0,0,,"Assetto finale 1° contratto programma FIAT",,,"7/9046","1998-08-31 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","367","1998-10-09 00:00:00",,,0,"251","1998-10-27 00:00:00",,,,,,"E980076allegato2.xls","","",,,FALSE,"",,,,
77,"1998-07-09 00:00:00",77,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"ex L.64/86 - Piani annuali di attuaz. Progr. triennale",,,"7/9084","1998-09-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","332","1998-10-02 00:00:00",,,0,"241","1998-10-15 00:00:00",,,,,,,,,,,FALSE,,,,,
78,"1998-07-09 00:00:00",78,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,0,0,0,,"Assetto finale 2° contratto programma FIAT",,,"7/9083","1998-09-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","1","1998-10-12 00:00:00",,,0,"251","1998-10-27 00:00:00",,,,,,"E980078allegato1.doc","E980078B.doc","",,,FALSE,"",,,,
79,"1998-08-05 00:00:00",79,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Istituzione e regolamento commissioni CIPE",,,"7/8850","1998-08-12 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","333","1998-10-02 00:00:00",,,0,"241","1998-10-15 00:00:00",,,,,,,,,,,FALSE,,,,,
80,"1998-08-05 00:00:00",80,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Variazioni credito d'imposta alle isole minori",,,"7/9175","1998-09-07 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","354","1998-10-05 00:00:00",,,0,"241","1998-10-15 00:00:00",,,,,,,,,,,FALSE,,,,,
81,"1998-08-05 00:00:00",84,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"F.S.N. 1998 ripartiz. Quota corrente",,,"7/8849","1998-08-12 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","299","1998-09-17 00:00:00",,,0,"228","1998-09-30 00:00:00",,,,,,,,,,,FALSE,,,,,
82,"1998-08-05 00:00:00",85,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"F.S.N. 1998 ripartiz. Quota conto capitale",,,"7/8849","1998-08-12 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","285","1998-09-14 00:00:00",,,0,"228","1998-09-30 00:00:00",,,,,,,,,,,FALSE,,,,,
83,"1998-08-05 00:00:00",86,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"F.S.N. 1997 parte corrente ass. sanit. agli stranieri",,,"7/8853","1998-08-12 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","279","1998-09-07 00:00:00",,,0,"228","1998-09-30 00:00:00",,,,,,,,,,,FALSE,,,,,
84,"1998-08-05 00:00:00",87,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"F.S.N. 1997 corrente oneri contratt. Dirig. medico-veter.",,,"7/8853","1998-08-12 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","280","1998-09-07 00:00:00",,,0,"228","1998-09-30 00:00:00",,,,,,,,,,,FALSE,,,,,
85,"1998-08-05 00:00:00",88,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"F.S.N. 1995 corrente Reg. SARDEGNA peste suina",,,"7/8853","1998-08-12 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","286","1998-09-14 00:00:00",,,0,"228","1998-09-30 00:00:00",,,,,,,,,,,FALSE,,,,,
86,"1998-08-05 00:00:00",89,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"F.S.N. 1998 corrente formazione spec. Medicina gener.",,,"7/8853","1998-08-12 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","298","1998-09-17 00:00:00",,,0,"228","1998-09-30 00:00:00",,,,,,,,,,,FALSE,,,,,
87,"1998-08-05 00:00:00",92,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Proroga scadenza progetti FIO",,,"7/9410","1998-09-14 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","368","1998-10-09 00:00:00",,,0,"207","1998-09-05 00:00:00",,,,,,,,,,,FALSE,,,,,
88,"1998-08-05 00:00:00",99,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Modifiche delibere 18.12.96 e 26.6.97 su Patti Territoriali",,,"7/9085","1998-09-02 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","300","1998-12-03 00:00:00",,,0,"294","1998-12-17 00:00:00",,,,,,,,,,,FALSE,,,,,
89,"1998-08-05 00:00:00",91,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Approvazione F.do Montagna 1998",,,"7/9126","1998-09-04 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","300","1998-09-17 00:00:00",,,0,"228","1998-09-30 00:00:00",,"274","1998-11-23 00:00:00",,,,,,,,FALSE,,,,,
90,"1998-08-05 00:00:00",82,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Conv. 199/90 - Recup. Centri storici Com.Mon.Pollino",,,"7/9266","1998-09-09 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
91,"1998-08-05 00:00:00",83,,,,0,,,,,FALSE,,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,"Conv. 343/87 - Realiz. Coldianu",,,"7/9409","1998-09-14 00:00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","32","1998-10-15 00:00:00",,,0,"255","1998-10-31 00:00:00",,,,,,,,,,,FALSE,,,,,
